filename,modality,vocal_channel,emotion,intensity,statement,repetition,actor_id,filepath,emotion_label
03-01-01-01-01-01-01.wav,3,1,1,1,1,1,1,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-01-01-01-01-01.wav,neutral
03-01-01-01-01-02-01.wav,3,1,1,1,1,2,1,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-01-01-01-02-01.wav,neutral
03-01-01-01-02-01-01.wav,3,1,1,1,2,1,1,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-01-01-02-01-01.wav,neutral
03-01-01-01-02-02-01.wav,3,1,1,1,2,2,1,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-01-01-02-02-01.wav,neutral
03-01-02-01-01-01-01.wav,3,1,2,1,1,1,1,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-02-01-01-01-01.wav,calm
03-01-02-01-01-02-01.wav,3,1,2,1,1,2,1,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-02-01-01-02-01.wav,calm
03-01-02-01-02-01-01.wav,3,1,2,1,2,1,1,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-02-01-02-01-01.wav,calm
03-01-02-01-02-02-01.wav,3,1,2,1,2,2,1,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-02-01-02-02-01.wav,calm
03-01-02-02-01-01-01.wav,3,1,2,2,1,1,1,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-02-02-01-01-01.wav,calm
03-01-02-02-01-02-01.wav,3,1,2,2,1,2,1,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-02-02-01-02-01.wav,calm
03-01-02-02-02-01-01.wav,3,1,2,2,2,1,1,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-02-02-02-01-01.wav,calm
03-01-02-02-02-02-01.wav,3,1,2,2,2,2,1,C:/Users/umesh sonawane/OneDrive/Desktop/audio_classification/audio_classification/audioclassificationapp\archive\Actor_01\03-01-02-02-02-02-01.wav,calm
